,Unnamed: 0,Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Buy_Signal
1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,0
1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,Date,,,,,,,,0
1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,2025-02-05,1278.199951171875,1290.5,1276.699951171875,1282.6500244140625,10112028,,,0
1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,2025-02-06,1281.550048828125,1288.0,1270.3499755859375,1273.699951171875,9956001,,,0
1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000004,2025-02-07,1266.699951171875,1283.699951171875,1262.0,1276.1500244140625,8764283,,,0
1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,2025-02-10,1253.6500244140625,1266.5,1245.550048828125,1264.5,6970972,,,0
1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,2025-02-11,1234.8499755859375,1264.550048828125,1230.0999755859375,1264.550048828125,8859714,,,0
1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,2025-02-12,1216.550048828125,1226.9000244140625,1193.3499755859375,1219.449951171875,21131654,,,0
1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,2025-02-13,1216.0999755859375,1228.0,1212.0,1217.050048828125,8511216,,,0
1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,2025-02-14,1217.25,1224.0,1205.449951171875,1219.0,10298145,,,0
1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000010,2025-02-17,1224.9000244140625,1227.5,1204.5,1211.0999755859375,8166683,,,0
1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000011,2025-02-18,1225.4000244140625,1229.9000244140625,1216.0999755859375,1224.8499755859375,6673250,,,0
1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000012,2025-02-19,1227.449951171875,1232.75,1217.550048828125,1219.5,6217338,,,0
1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000013,2025-02-20,1233.0,1239.3499755859375,1222.0,1223.949951171875,7795582,,,0
1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000014,2025-02-21,1228.1500244140625,1240.0,1222.1500244140625,1228.699951171875,6904025,,,0
1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000015,2025-02-24,1214.550048828125,1223.25,1210.5,1216.550048828125,7172498,,,0
1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000016,2025-02-25,1204.0,1221.0,1201.5,1211.0,11552182,,,0
1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000017,2025-02-27,1207.0999755859375,1215.0,1200.6500244140625,1212.800048828125,11509215,,,0
1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000018,2025-02-28,1200.0999755859375,1217.3499755859375,1193.300048828125,1202.0,23007298,,,0
