,Unnamed: 0,Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Buy_Signal
1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,Ticker,,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,0
1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,Date,,,,,,,,0
1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,2025-02-05,4041.34228515625,4099.525820208286,4026.4258417274636,4099.525820208286,1693912,,,0
1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,2025-02-06,4033.09375,4089.1535308615516,4002.2732667297546,4055.468173998699,2284536,,,0
1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000004,2025-02-07,3980.392578125,4040.2556308848625,3959.2529507546524,4040.2556308848625,1548940,,,0
1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,2025-02-10,3987.850830078125,4002.7178337412574,3965.5258456983292,3990.8637829009576,1339511,,,0
1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,2025-02-11,3915.343505859375,3990.863637094394,3906.8974467099824,3969.526249892905,1810908,,,0
1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,2025-02-12,3902.1064453125,3972.83571115218,3892.228069702002,3922.801835153518,1678002,,,0
1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,2025-02-13,3862.593017578125,3935.989398017966,3854.789197163407,3919.739518058658,2277310,,,0
1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,2025-02-14,3886.992431640625,3899.982398124333,3852.56619875504,3877.2621359265468,1681975,,,0
1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000010,2025-02-17,3857.01171875,3886.152926511077,3809.299116791676,3809.5955162912987,1799806,,,0
1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000011,2025-02-18,3826.092529296875,3876.669765987123,3817.4983904443516,3850.9859884863977,2149879,,,0
1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000012,2025-02-19,3738.076171875,3827.82106864859,3722.319970005145,3825.1045153843083,4366672,,,0
1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000013,2025-02-20,3733.43310546875,3741.928604788681,3705.675015273267,3715.7509099558138,2888572,,,0
1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000014,2025-02-21,3739.953125,3770.5760903658215,3729.0869114830957,3730.173629303301,1833931,,,0
1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000015,2025-02-24,3630.895751953125,3717.4301755985084,3625.3637652705784,3697.6239847229253,2508516,,,0
1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000016,2025-02-25,3585.40576171875,3613.5096912637337,3577.2066619706934,3580.911052714881,4101954,,,0
1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000017,2025-02-27,3568.612548828125,3593.752965954935,3556.9065775254853,3567.772790451682,3823856,,,0
1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000018,2025-02-28,3440.88525390625,3556.215291484246,3414.954517405844,3541.348287656423,7085018,,,0
1970-01-01 00:00:00.000000019,1970-01-01 00:00:00.000000019,2025-03-03,3450.56591796875,3480.398563015721,3433.871319078812,3442.6137776512555,4990439,,,0
1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000020,2025-03-04,3489.091796875,3507.811270911589,3422.1658003657744,3431.747776723982,2797737,,,0
1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000021,2025-03-05,3503.9091796875,3556.5609685813047,3478.0278844831014,3478.0278844831014,2501894,3758.6823852539055,,0
1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000022,2025-03-06,3557.795654296875,3565.550034007974,3493.092297722642,3513.738005107593,2786513,3734.505053710937,,0
1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000023,2025-03-07,3567.27880859375,3580.9110146215976,3530.926339576579,3556.2150765897245,2051315,3711.214306640625,,0
1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000024,2025-03-10,3545.990966796875,3578.0464882486435,3539.0269050026495,3562.6361259918417,1004626,3689.494226074218,,0
1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000025,2025-03-11,3531.815673828125,3545.1020407658093,3494.623445019518,3514.7260358188087,1995450,3666.692468261719,,0
1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000026,2025-03-12,3463.555908203125,3525.8391128612507,3444.4413966520915,3521.640803348143,3174167,3644.103088378906,,0
1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000027,2025-03-13,3468.34716796875,3481.4360158451636,3441.724993541169,3459.7035891824394,1693004,3622.415124511719,,0
1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000028,2025-03-17,3455.159423828125,3487.5111042781473,3435.057073961186,3446.565285194742,2690906,3602.0434448242186,,0
1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000029,2025-03-18,3455.159423828125,3455.159423828125,3455.159423828125,3455.159423828125,0,3580.451794433594,,0
1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000030,2025-03-19,3454.56689453125,3503.8598932625678,3420.634577218764,3503.8598932625678,3051244,3560.329553222656,,0
1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000031,2025-03-20,3519.813232421875,3535.4211137803227,3469.285438744659,3469.285438744659,2845192,3545.015588378906,,0
1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000032,2025-03-21,3534.581787109375,3572.267694804508,3422.857258900137,3432.735634827699,4161925,3534.840869140625,,0
