Date,Stock,Trade,Price,RSI
2025-02-28,RELIANCE.NS,Sell,1202.0,20.95573433909433
2025-03-26,RELIANCE.NS,Sell,1291.0,80.12047511248228
2025-04-08,RELIANCE.NS,Sell,1172.0,39.003123347110005
2025-05-02,RELIANCE.NS,Sell,1414.0,90.8783783783784
2025-07-23,RELIANCE.NS,Sell,1426.0,19.49803461960228
