Date,Open,High,Low,Close,Volume,RSI_14,Buy_Signal,Position,Market_Return,Strategy_Return,Total_Market_Return,Total_Strategy_Return
2025-02-06,4033.09375,4089.153530861552,4002.2732667297546,4055.468173998699,2284536,,,0.0,,,,
2025-02-07,3980.392578125,4040.255630884864,3959.252950754653,4040.255630884864,1548940,,Hold,0.0,-0.003751118850190749,-0.0,0.9962488811498093,1.0
2025-02-10,3987.850830078125,4002.7178337412574,3965.525845698329,3990.8637829009576,1339511,,Hold,0.0,-0.012224931414324569,-0.0,0.9840698069061552,1.0
2025-02-11,3915.343505859375,3990.863637094394,3906.8974467099824,3969.526249892905,1810908,,Hold,0.0,-0.005346595165556467,-0.0,0.9788083840339806,1.0
2025-02-12,3902.1064453125,3972.83571115218,3892.228069702002,3922.801835153518,1678002,,Hold,0.0,-0.011770778626453926,-0.0,0.9672870472277996,1.0
2025-02-13,3862.593017578125,3935.989398017966,3854.789197163407,3919.739518058658,2277310,,Hold,0.0,-0.0007806453712285721,-0.0,0.9665319390717318,1.0
2025-02-14,3886.992431640625,3899.982398124333,3852.56619875504,3877.2621359265454,1681975,,Hold,0.0,-0.010836786969239953,-0.0,0.9560578383490451,1.0
2025-02-17,3857.01171875,3886.152926511077,3809.299116791676,3809.595516291298,1799806,,Hold,0.0,-0.017452165281333865,-0.0,0.9393725589356628,1.0
2025-02-18,3826.092529296875,3876.669765987123,3817.498390444352,3850.9859884863977,2149879,,Hold,0.0,0.010864794442900338,0.0,0.9495786486938002,1.0
2025-02-19,3738.076171875,3827.82106864859,3722.319970005145,3825.104515384308,4366672,,Hold,0.0,-0.006720739358561656,-0.0,0.943196778095474,1.0
2025-02-20,3733.43310546875,3741.928604788681,3705.675015273267,3715.7509099558138,2888572,,Hold,0.0,-0.02858839673234581,-0.0,0.9162322944066102,1.0
2025-02-21,3739.953125,3770.5760903658215,3729.086911483096,3730.173629303301,1833931,,Hold,0.0,0.0038815086632539852,0.0,0.9197886579949026,1.0
2025-02-24,3630.895751953125,3717.430175598509,3625.3637652705775,3697.623984722925,2508516,,Hold,0.0,-0.008726040076170838,-0.0,0.9117625453036317,1.0
2025-02-25,3585.40576171875,3613.5096912637337,3577.2066619706934,3580.911052714881,4101954,,Hold,0.0,-0.031564305210658006,-0.0,0.8829833940440214,1.0
2025-02-27,3568.612548828125,3593.752965954935,3556.9065775254853,3567.772790451682,3823856,9.312725592501238,Buy,1.0,-0.0036689719654550146,-0.0,0.8797437527253116,1.0
2025-02-28,3440.88525390625,3556.215291484246,3414.954517405844,3541.348287656423,7085018,9.14170489476234,Hold,0.0,-0.007406442155166948,-0.007406442155166948,0.8732279815093821,0.992593557844833
2025-03-03,3450.56591796875,3480.398563015721,3433.871319078812,3442.6137776512555,4990439,8.458128299366038,Hold,0.0,-0.027880485618800188,-0.0,0.8488819613289759,0.992593557844833
2025-03-04,3489.091796875,3507.811270911589,3422.1658003657744,3431.747776723982,2797737,8.594514039289564,Hold,0.0,-0.0031563229653623903,-0.0,0.8462026156995514,0.992593557844833
2025-03-05,3503.9091796875,3556.5609685813047,3478.0278844831014,3478.0278844831014,2501894,15.731819047543937,Hold,0.0,0.013485870981841064,0.0,0.857614394999372,0.992593557844833
2025-03-06,3557.795654296875,3565.550034007974,3493.092297722642,3513.738005107593,2786513,20.217390141921086,Hold,0.0,0.01026734741944102,0.0,0.8664198199447443,0.992593557844833
2025-03-07,3567.27880859375,3580.9110146215976,3530.926339576579,3556.2150765897245,2051315,26.44929053928837,Hold,0.0,0.012088855634764695,0.0,0.8768938440671551,0.992593557844833
2025-03-10,3545.990966796875,3578.0464882486435,3539.026905002649,3562.6361259918417,1004626,30.09555691409031,Hold,0.0,0.0018055852258167526,0.0,0.8784771506366124,0.992593557844833
2025-03-11,3531.815673828125,3545.1020407658093,3494.623445019518,3514.7260358188087,1995450,23.179968124296693,Hold,0.0,-0.013447932508037108,-0.0,0.8666634492049985,0.992593557844833
2025-03-12,3463.555908203125,3525.8391128612507,3444.4413966520915,3521.640803348143,3174167,25.040629020035965,Hold,0.0,0.0019673702754825495,0.0,0.8683684971138116,0.992593557844833
2025-03-13,3468.34716796875,3481.436015845164,3441.724993541169,3459.7035891824394,1693004,27.1589847669258,Hold,0.0,-0.017587601241676243,-0.0,0.8530959782557401,0.992593557844833
2025-03-17,3455.159423828125,3487.511104278148,3435.057073961186,3446.565285194742,2690906,24.642261180536423,Hold,0.0,-0.0037975230099992485,-0.0,0.8498563266485761,0.992593557844833
2025-03-18,3455.159423828125,3455.159423828125,3455.159423828125,3455.159423828125,0,27.350728489348317,Hold,0.0,0.0024935371659142724,0.0,0.8519754749847618,0.992593557844833
2025-03-19,3454.56689453125,3503.859893262568,3420.634577218764,3503.859893262568,3051244,41.75476526334278,Hold,0.0,0.014094999234647743,0.0,0.8639840686526107,0.992593557844833
2025-03-20,3519.813232421875,3535.4211137803227,3469.285438744659,3469.285438744659,2845192,39.9231821319062,Hold,0.0,-0.009867533397779682,-0.0,0.8554586770000314,0.992593557844833
2025-03-21,3534.581787109375,3572.267694804508,3422.857258900137,3432.735634827699,4161925,39.112781822150886,Hold,0.0,-0.010535254179081188,-0.0,0.8464462023981356,0.992593557844833
2025-03-24,3584.81298828125,3605.360057323045,3523.2214624383355,3556.215139766549,1834751,60.84907745359411,Hold,0.0,0.03597116646154075,0.0,0.876893859645338,0.992593557844833
2025-03-25,3613.2626953125,3664.877205825815,3593.752904257228,3600.6677669097294,3135390,65.1595715578676,Hold,0.0,0.012499982536517296,0.0,0.8878550175772839,0.992593557844833
2025-03-26,3591.57958984375,3635.7358773567735,3581.7506550649064,3603.3841996001006,1734499,62.20426025016658,Hold,0.0,0.0007544246973674174,0.0,0.8885248373302258,0.992593557844833
2025-03-27,3606.79248046875,3618.449012006768,3566.5875396807087,3570.884729570523,2528474,55.598608828289535,Hold,0.0,-0.009019152060772306,-0.0,0.8805110967125716,0.992593557844833
2025-03-28,3562.290283203125,3616.42382915822,3548.2135981206075,3606.5948937734543,2051919,55.001982542397045,Hold,0.0,0.010000368790181069,0.0,0.889316532403544,0.992593557844833
2025-04-01,3507.613525390625,3540.4096829245336,3482.127269059425,3529.2470706788267,2618493,47.09420478275105,Hold,0.0,-0.021446218766671965,-0.0,0.8702440554967995,0.992593557844833
2025-04-02,3500.846923828125,3520.751995656576,3487.1160780114287,3500.8963639411054,1764313,48.75400701641172,Hold,0.0,-0.008033075092208963,-0.0,0.8632533196504453,0.992593557844833
2025-04-03,3361.75927734375,3459.407116080848,3354.8444144618065,3448.5409029806515,4537821,43.91246669525642,Hold,0.0,-0.014954873128982027,-0.0,0.8503434757769003,0.992593557844833
2025-04-04,3259.271240234375,3358.301958396606,3255.4187701110422,3321.702768711085,5317367,39.62879408392176,Hold,0.0,-0.036780231940974684,-0.0,0.8190676455083313,0.992593557844833
2025-04-07,3234.2294921875,3251.368328518194,3018.8809120553065,3062.296322980731,6623955,28.92281523815269,Hold,0.0,-0.07809441837296327,-0.0,0.7551030341242457,0.992593557844833
2025-04-08,3252.899658203125,3308.2680019006634,3215.70767038631,3261.889076504213,5557558,41.23549515530397,Hold,0.0,0.0651774787520254,0.0,0.8043187460864687,0.992593557844833
2025-04-09,3207.113525390625,3230.228827873871,3172.9836893878546,3220.89381114684,2990265,37.07762892458357,Hold,0.0,-0.012567952004458594,-0.0,0.7942101066893676,0.992593557844833
2025-04-11,3192.197021484375,3258.8266155521846,3167.0071641277755,3249.541039112772,7108961,39.91018640837016,Hold,0.0,0.00889418578991652,0.0,0.8012739589344923,0.992593557844833
2025-04-15,3208.69384765625,3274.08864453866,3199.2107519795586,3274.08864453866,3512160,42.63436004034953,Hold,0.0,0.007554176153008463,0.0,0.8073269235671019,0.992593557844833
2025-04-16,3233.982421875,3238.23017131478,3189.727254104092,3208.693685671263,2384391,32.94549135191842,Hold,0.0,-0.019973484522625484,-0.0,0.7912017917545355,0.992593557844833
2025-04-17,3258.77734375,3263.420373380785,3178.8613788302714,3206.0269126767075,2932346,29.804867177900206,Hold,0.0,-0.000831108624193222,-0.0,0.7905442171219312,0.992593557844833
