,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Buy_Signal,Daily_Return,Strategy_Return,Total_Market_Return,Total_Strategy_Return
1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,Ticker,,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,,0,,,,
1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,Date,,,,,,,,0,,,,
1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,2025-02-05,4041.34228515625,4099.525820208286,4026.4258417274636,4099.525820208286,1693912,,,0,,,,
1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,2025-02-06,4033.09375,4089.1535308615516,4002.2732667297546,4055.468173998699,2284536,,,0,-0.0020410384902428413,-0.0,0.9979589615097572,1.0
1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000004,2025-02-07,3980.392578125,4040.2556308848625,3959.2529507546524,4040.2556308848625,1548940,,,0,-0.013067182451436898,-0.0,0.9849184496806627,1.0
1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,2025-02-10,3987.850830078125,4002.7178337412574,3965.5258456983292,3990.8637829009576,1339511,,,0,0.0018737478293255894,0.0,0.9867639384878145,1.0
1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,2025-02-11,3915.343505859375,3990.863637094394,3906.8974467099824,3969.526249892905,1810908,,,0,-0.018182055274452047,-0.0,0.9688225420153931,1.0
1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,2025-02-12,3902.1064453125,3972.83571115218,3892.228069702002,3922.801835153518,1678002,,,0,-0.0033808171689317934,-0.0,0.9655471301316993,1.0
1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,2025-02-13,3862.593017578125,3935.989398017966,3854.789197163407,3919.739518058658,2277310,,,0,-0.010126178844208966,-0.0,0.955769827209473,1.0
1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,2025-02-14,3886.992431640625,3899.982398124333,3852.56619875504,3877.2621359265468,1681975,,,0,0.006316848280795151,0.0,0.961807280199317,1.0
