Date,Stock,Trade,Price,RSI
2025-02-28,TCS.NS,Sell,3541.348287656423,9.14170489476234
2025-05-02,TCS.NS,Sell,3429.772092912052,71.74667312056023
2025-06-05,TCS.NS,Sell,3397.4699581243544,24.65208361325564
