,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,Buy_Signal,Daily_Return,Strategy_Return,Total_Market_Return,Total_Strategy_Return
1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,0,,,,
1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,Date,,,,,,,,0,,,,
1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000002,2025-02-05,1278.199951171875,1290.5,1276.699951171875,1282.6500244140625,10112028,,,0,,,,
1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000003,2025-02-06,1281.550048828125,1288.0,1270.3499755859375,1273.699951171875,9956001,,,0,0.0026209496043076985,0.0,1.0026209496043077,1.0
1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000004,2025-02-07,1266.699951171875,1283.699951171875,1262.0,1276.1500244140625,8764283,,,0,-0.011587606484685709,-0.0,0.9910029725869911,1.0
1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000005,2025-02-10,1253.6500244140625,1266.5,1245.550048828125,1264.5,6970972,,,0,-0.010302303040068406,-0.0,0.9807933596497913,1.0
1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000006,2025-02-11,1234.8499755859375,1264.550048828125,1230.0999755859375,1264.550048828125,8859714,,,0,-0.014996249720420907,-0.0,0.9660851375043524,1.0
1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000007,2025-02-12,1216.550048828125,1226.9000244140625,1193.3499755859375,1219.449951171875,21131654,,,0,-0.014819554698641935,-0.0,0.9517681859655617,1.0
1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,2025-02-13,1216.0999755859375,1228.0,1212.0,1217.050048828125,8511216,,,0,-0.0003699586733986182,-0.0,0.9514160710700988,1.0
1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000009,2025-02-14,1217.25,1224.0,1205.449951171875,1219.0,10298145,,,0,0.0009456660119644411,0.0,0.9523157929117466,1.0
